log(fluence_n_cm2),wt_percent_Cu,wt_percent_Ni,temperature_C,log(flux_n_cm2_sec),wt_percent_Mn,wt_percent_P,wt_percent_C,wt_percent_Si,Product Form_2,Product Form_5,Product Form_0,Product Form_3,Product Form_4,Product Form_1
19.06069784035361,0.057,0.77,288.8888888888889,10.93452537682551,1.38,0.013,0.24,0.3,0.0,0.0,1.0,0.0,0.0,0.0
19.31597034545692,0.057,0.77,288.8888888888889,10.8846899738444,1.38,0.013,0.24,0.3,0.0,0.0,1.0,0.0,0.0,0.0
18.58883172559421,0.057,0.77,288.8888888888889,11.01814311135271,1.38,0.013,0.24,0.3,0.0,0.0,1.0,0.0,0.0,0.0
19.06069784035361,0.057,0.77,288.8888888888889,10.93452537682551,1.38,0.013,0.24,0.3,0.0,0.0,1.0,0.0,0.0,0.0
19.31597034545692,0.057,0.77,288.8888888888889,10.8846899738444,1.38,0.013,0.24,0.3,0.0,0.0,1.0,0.0,0.0,0.0
18.58883172559421,0.04,0.64,288.8888888888889,11.01814311135271,1.45,0.011,0.069,0.53,0.0,1.0,0.0,0.0,0.0,0.0
19.06069784035361,0.04,0.64,288.8888888888889,10.93452537682551,1.45,0.011,0.069,0.53,0.0,1.0,0.0,0.0,0.0,0.0
19.31597034545692,0.04,0.64,288.8888888888889,10.8846899738444,1.45,0.011,0.069,0.53,0.0,1.0,0.0,0.0,0.0,0.0
17.18184358794477,0.14,0.55,275.5555555555555,8.726273376495698,1.35,0.007,0.2,0.19,1.0,0.0,0.0,0.0,0.0,0.0
17.18184358794477,0.2,0.33,275.5555555555555,8.726273376495698,1.49,0.01,0.15,0.09,0.0,1.0,0.0,0.0,0.0,0.0
18.987219229908,0.04,0.86,292.0,11.21443413178826,0.71,0.011,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0
19.13353890837022,0.04,0.86,292.0,11.01689929072727,0.71,0.011,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0
18.987219229908,0.04,0.85,292.0,11.21443413178826,0.75,0.01,0.0,0.32,0.0,0.0,1.0,0.0,0.0,0.0
19.13353890837022,0.04,0.85,292.0,11.01689929072727,0.75,0.01,0.0,0.32,0.0,0.0,1.0,0.0,0.0,0.0
18.987219229908,0.09,0.05,292.0,11.21443413178826,1.98,0.011,0.0,0.19,0.0,1.0,0.0,0.0,0.0,0.0
19.13353890837022,0.09,0.05,292.0,11.01689929072727,1.98,0.011,0.0,0.19,0.0,1.0,0.0,0.0,0.0,0.0
